node	length
1961	3
1962	1
1963	1
1964	1
1965	1
1966	2
1967	2
1968	2
1969	1
1970	1
1971	1
1972	1
1973	1
1974	2
1975	2
1976	1
1977	2
1978	2
1979	1
1980	1
1981	1
1982	1
1983	2
1984	1
1985	2
1986	1
1987	2
1988	1
1989	1
1990	1
1991	3
1992	3
1993	3
1994	2
1995	1
1996	1
1997	1
1998	4
1999	1
2000	1
2001	1
2002	1
2003	2
2004	2
2005	1
2006	1
2007	1
2008	2
2009	1
2010	1
2011	2
2012	1
2013	1
2014	1
2015	2
2016	1
2017	2
2018	2
2019	3
2020	3
2021	1
2022	1
2023	1
2024	1
2025	1
2026	2
2027	1
2028	1
2029	1
2030	1
2031	2
2032	2
2033	1
2034	1
2035	1
2036	1
2037	2
2038	2
2039	1
2040	1
2041	2
2042	30
2043	3
2044	3
2045	1
2046	1
2047	1
2048	1
2049	7
2050	7
2051	1
2052	1
2053	1
2054	1
2055	5
2056	5
2057	3
2058	2
2059	2
2060	2
2061	4
2062	4
2063	23
2064	1
2065	1
2066	19
2067	1
2068	1
2069	12
2070	1
2071	1
2072	62
2073	1
2074	1
2075	4
2076	2
2077	2
2078	1
2079	2
2080	3
2081	3
2082	1
2083	2
2084	2
2085	1
2086	1
2087	1
2088	1
2089	1
2090	1
2091	1
2092	3
2093	26
2094	1
2095	1
2096	1
2097	1
2098	1
2099	3
2100	3
2101	53
2102	2
2103	1
2104	1
2105	1
2106	2
2107	525
2108	1
2109	2
2110	2
2111	1
2112	1
2113	30
2114	1
2115	1
2116	21
2117	1
2118	3
2119	1
2120	1
2121	2
2122	2
2123	2
2124	1
2125	1
2126	2
2127	2
2128	2
2129	1
2130	2
2131	1
2132	2
2133	2
2134	2
2135	1
2136	1
2137	1
2138	1
2139	1
2140	3
2141	2
2142	2
2143	1
2144	3
2145	3
2146	1
2147	4
2148	3
2149	2
2150	1
2151	1
2152	1
2153	1
2154	1
2155	1
2156	3
2157	1
2158	2
2159	10
2160	1
2161	2
2162	1
2163	1
2164	2
2165	2
2166	1
2167	1
2168	1
2169	1
2170	1
2171	1
2172	1
2173	16
2174	16
2175	1
2176	2
2177	2
2178	41
2179	2
2180	2
2181	1
2182	2
2183	2
2184	53
2185	1
2186	1
2187	21
2188	1
2189	1
2190	155
2191	1
2192	1
2193	40
2194	1
2195	1
2196	3
2197	1
2198	1
2199	2
2200	1
2201	36
2202	8
2203	8
2204	2
2205	1
2206	1
2207	2
2208	3
2209	3
2210	1
