idx	X	Y	component
94	1444.293482807039	2432.839186630692	0
95	1467.935488866168	2427.36935505737	0
96	1467.942376729395	2427.368255371111	0
97	1469.022552457778	2427.072233209331	0
98	1467.936135922865	2427.369220339487	0
99	1469.031807231762	2427.070886910031	0
100	1469.030652554969	2427.070831645045	0
101	1517.828610070494	2417.10547368745	0
102	1517.812968441584	2417.109825005675	0
103	1518.918708785834	2416.751257496965	0
104	1517.824619091854	2417.106245898074	0
105	1518.9220616435	2416.75390114844	0
106	1518.925380499935	2416.753300915967	0
107	1598.56553991071	2402.579103733809	0
108	1598.321910905844	2402.591068867368	0
109	1597.709159373958	2402.775607060657	0
110	1597.194748872217	2402.879414411908	0
111	1597.903515348855	2402.789506132384	0
112	1598.296346789025	2402.642178533833	0
113	1598.829784920668	2402.527594839405	0
114	1598.823220157898	2402.529111379228	0
115	1599.648517514923	2402.35804934181	0
116	1599.64851751591	2402.358049341649	0
117	1602.140809809905	2401.846608673085	0
118	1598.565299393217	2402.579154762548	0
119	1602.166506585143	2401.841729585998	0
120	1602.14884214565	2401.844760986165	0
121	1603.337613995699	2401.599093516453	0
122	1603.335397706424	2401.599522514073	0
123	1612.841428108553	2399.723280211926	0
124	1603.314331261146	2401.603731631219	0
125	1612.837437863976	2399.723807549914	0
126	1612.840459028946	2399.723469094576	0
127	1693.750485527456	2383.977175690468	0
128	1693.72359512109	2383.981354372191	0
129	1693.76316373104	2383.98006475171	0
130	1693.742199702993	2383.978508871097	0
131	1696.289047689354	2383.458644845352	0
132	1696.297654282026	2383.457720148505	0
133	1697.494675990016	2383.217949894737	0
134	1696.314160463507	2383.454939361288	0
135	1697.50541078444	2383.216770292628	0
136	1697.504168680057	2383.217145085055	0
137	1699.043251935405	2382.909343776192	0
138	1699.088733713244	2382.899246036399	0
139	1699.428953015577	2382.831559046954	0
140	1699.435566322019	2382.830753038043	0
141	1702.127123404609	2382.292689126346	0
142	1702.129775312839	2382.29199450434	0
143	1703.099247060316	2382.102168044961	0
144	1703.106181121975	2382.100299626672	0
